File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\REALRunner.java,23,15,13,0,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\adapter\BestAvgPlotConverter.java,244,202,174,15,39,0,3,20,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\adapter\BestAvgStatsSerializer.java,197,165,129,12,32,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\adapter\SequenceAdapter.java,101,84,64,10,16,0,1,8,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\adapter\WilcoxonTestListener.java,123,101,78,7,22,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\AbstractRegistry.java,69,52,38,11,17,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\REALConfig.java,378,258,122,0,87,0,33,123,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\REALManager.java,147,107,97,5,32,0,8,31,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\challenger\AChallenger.java,71,50,34,3,21,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\challenger\ChallengerRegistry.java,25,17,12,0,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\challenger\uniform\RandomUniformChallenger.java,126,92,76,6,23,0,11,66,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\AREALControl.java,24,14,10,1,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\arraycontrol\ArrayControl.java,151,118,98,2,26,0,7,41,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\chunk\ChunkControl.java,130,100,82,2,25,0,5,35,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\staticontrol\StaticControl.java,107,85,68,2,21,0,1,12,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\AbstractREALEvent.java,16,11,8,1,5,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\AbstractMessageEvent.java,13,8,6,0,5,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\learner\LearnerRequestEvent.java,27,19,15,2,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\learner\LearnerResultEvent.java,29,21,17,2,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\oracle\OracleRequestEvent.java,30,21,17,1,9,0,0,0,0,0
