Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,129,8934,6758,5053,691,1927,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL,129,8934,6758,5053,691,1927,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal,128,8902,6736,5034,689,1917,0,249,1272,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\adapter,4,665,552,445,44,109,0,4,28,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core,64,4968,3813,2802,295,1068,0,87,440,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\challenger,3,222,159,122,9,52,0,11,66,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\challenger\uniform,1,126,92,76,6,23,0,11,66,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control,4,412,317,258,7,82,0,13,88,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\arraycontrol,1,151,118,98,2,26,0,7,41,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\chunk,1,130,100,82,2,25,0,5,35,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\control\staticontrol,1,107,85,68,2,21,0,1,12,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events,20,562,399,306,47,163,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com,5,129,90,72,7,39,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\learner,2,56,40,32,4,16,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\com\oracle,2,60,42,34,3,18,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\processmanagement,6,182,131,96,23,51,0,0,0,0,0
