Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,8,834,676,557,78,149,2,9,45,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor,8,834,676,557,78,149,2,9,45,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src,8,834,676,557,78,149,2,9,45,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de,6,694,565,467,62,123,2,6,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb,6,694,565,467,62,123,2,6,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901,6,694,565,467,62,123,2,6,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901\wever,6,694,565,467,62,123,2,6,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901\wever\crcrealexecutor,6,694,565,467,62,123,2,6,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901\wever\crcrealexecutor\jfreechart,2,127,102,90,7,22,2,3,13,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901\wever\crcrealexecutor\json,2,198,154,119,26,44,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREALExecutor\src\de\upb\crc901\wever\crcrealexecutor\texplot,1,244,202,174,15,39,0,3,20,0,0
